iter	Logloss
0	0.6844660287
1	0.6759823947
2	0.6678526752
3	0.6601850708
4	0.6528897432
5	0.6457048991
6	0.638871096
7	0.6320775259
8	0.6255655071
9	0.6198061106
10	0.6138073366
11	0.608001599
12	0.6024368934
13	0.5968893096
14	0.5916353586
15	0.5867162189
16	0.581570379
17	0.5768783824
18	0.5725504127
19	0.5682126981
20	0.5642579493
21	0.5603627638
22	0.5565350021
23	0.5528064716
24	0.549371719
25	0.5461431653
26	0.5430489634
27	0.5399896722
28	0.5369650291
29	0.5337413148
30	0.5311744023
31	0.5285594304
32	0.5258528237
33	0.523488908
34	0.5213088362
35	0.5188646549
36	0.5162800097
37	0.5140689083
38	0.5118693831
39	0.5096252301
40	0.5075916048
41	0.5054758306
42	0.5038292094
43	0.5020090086
44	0.5003808668
45	0.4987632884
46	0.497290091
47	0.4959235712
48	0.4942903051
49	0.4928699695
50	0.4914810147
51	0.4903120332
52	0.4889323084
53	0.487638568
54	0.4865106478
55	0.4851787471
56	0.483859254
57	0.4828585716
58	0.4817810412
59	0.4807975173
60	0.479859285
61	0.4788996933
62	0.4779791885
63	0.4770801093
64	0.4763101713
65	0.4754436591
66	0.4744875783
67	0.4736484554
68	0.4727812793
69	0.4718890593
70	0.4712901128
71	0.4705671258
72	0.469913956
73	0.469128071
74	0.4683902383
75	0.4677852954
76	0.4671467984
77	0.4665424644
78	0.4660627849
79	0.465617322
80	0.46499179
81	0.4645166207
82	0.4639343858
83	0.463435831
84	0.4628577033
85	0.4624543862
86	0.4619245981
87	0.4615420232
88	0.4610259203
89	0.4605651868
90	0.4602055308
91	0.4598291793
92	0.4594374067
93	0.4590117807
94	0.4587241344
95	0.4583538589
96	0.4581052261
97	0.4578431167
98	0.4575520978
99	0.4572433267
100	0.4569392805
101	0.4566061868
102	0.4563699457
103	0.4560799496
104	0.4558282224
105	0.455587866
106	0.4553382129
107	0.4551328709
108	0.4548908011
109	0.4546515438
110	0.4543854551
111	0.4541437393
112	0.4538736547
113	0.4537314862
114	0.4535102058
115	0.4533575438
116	0.4531653802
117	0.4529878319
118	0.4528186575
119	0.4525993538
120	0.4524113612
121	0.4522766486
122	0.4521044725
123	0.4519500738
124	0.4518040473
125	0.4516781164
126	0.4515215922
127	0.4513742839
128	0.4512038986
129	0.4510870966
130	0.4509565863
131	0.4508454457
132	0.4507200809
133	0.4506312723
134	0.4505072494
135	0.4504030719
136	0.4502632368
137	0.4501513005
138	0.4500125027
139	0.4499272098
140	0.449799494
141	0.4496984586
142	0.4496249168
143	0.4495494
144	0.4494502584
145	0.4493856148
